Country Name,Year,GDP
Ukraine,1987,1244.04125976563
Ukraine,1988,1444.248046875
Ukraine,1989,1593.07861328125
Ukraine,1990,1563.63415527344
Ukraine,1991,1482.6396484375
Ukraine,1992,1413.24011230469
Ukraine,1993,1254.02868652344
Ukraine,1994,1009.09356689453
Ukraine,1995,933.191772460938
Ukraine,1996,869.846069335938
Ukraine,1997,987.489807128906
Ukraine,1998,831.336791992188
Ukraine,1999,631.910461425781
Ukraine,2000,653.294311523438
Ukraine,2001,800.49072265625
Ukraine,2002,903.011901855469
Ukraine,2003,1076.48156738281
Ukraine,2004,1401.01806640625
Ukraine,2005,1875.33508300781
Ukraine,2006,2366.494140625
Ukraine,2007,3160.32763671875
Ukraine,2008,4017.806640625
Ukraine,2009,2607.08764648438
Ukraine,2010,3039.63232421875
Ukraine,2011,3656.69799804688
Ukraine,2012,3951.34228515625
Ukraine,2013,4129.89697265625
Ukraine,2014,3054.908203125
Ukraine,2015,2094.47387695313
Ukraine,2016,2158.46118164063
Ukraine,2017,2604.28759765625
Ukraine,2018,3059.0517578125
Ukraine,2019,3619.86157226563
Ukraine,2020,3709.76928710938
Ukraine,2021,4775.94580078125
Ukraine,2022,4199.6708984375
Ukraine,2023,5069.703125
