Period,Seniority,Salary,GDP
2015.12,Junior,1064.5,2094.47387695313
2015.12,Lead,2371.5555555555557,2094.47387695313
2015.12,Middle,1655.376811594203,2094.47387695313
2015.12,Senior,2540.3571428571427,2094.47387695313
2016.06,Junior,909.24,2158.46118164063
2016.06,Lead,2270.9565217391305,2158.46118164063
2016.06,Middle,1546.0985915492959,2158.46118164063
2016.06,Senior,2174.6153846153848,2158.46118164063
2016.12,Junior,998.1904761904761,2158.46118164063
2016.12,Lead,2255.05,2158.46118164063
2016.12,Middle,1693.2278481012659,2158.46118164063
2016.12,Senior,2299.1176470588234,2158.46118164063
2017.06,Junior,927.921052631579,2604.28759765625
2017.06,Lead,2408.5625,2604.28759765625
2017.06,Middle,1528.2409638554218,2604.28759765625
2017.06,Senior,2467.923076923077,2604.28759765625
2017.12,Junior,914.0714285714286,2604.28759765625
2017.12,Lead,2450.0,2604.28759765625
2017.12,Middle,1825.027027027027,2604.28759765625
2017.12,Senior,2544.5833333333335,2604.28759765625
2018.06,Junior,1012.1481481481482,3059.0517578125
2018.06,Lead,2620.689655172414,3059.0517578125
2018.06,Middle,1904.6373626373627,3059.0517578125
2018.06,Senior,2672.6470588235293,3059.0517578125
2018.12,Junior,973.6567164179105,3059.0517578125
2018.12,Lead,2816.923076923077,3059.0517578125
2018.12,Middle,2079.5444444444443,3059.0517578125
2018.12,Senior,2606.7391304347825,3059.0517578125
2019.06,Junior,921.3626373626373,3619.86157226563
2019.06,Lead,2941.5384615384614,3619.86157226563
2019.06,Middle,1968.099099099099,3619.86157226563
2019.06,Senior,2371.913043478261,3619.86157226563
2019.12,Junior,1004.463768115942,3619.86157226563
2019.12,Lead,3139.782608695652,3619.86157226563
2019.12,Middle,1967.388888888889,3619.86157226563
2019.12,Senior,2875.714285714286,3619.86157226563
2020.06,Junior,914.5892857142857,3709.76928710938
2020.06,Lead,3298.048780487805,3709.76928710938
2020.06,Middle,2057.4421768707484,3709.76928710938
2020.06,Senior,2833.1428571428573,3709.76928710938
2020.12,Junior,861.059405940594,3709.76928710938
2020.12,Lead,3285.1020408163267,3709.76928710938
2020.12,Middle,1930.9121951219513,3709.76928710938
2020.12,Senior,2893.4848484848485,3709.76928710938
2021.06,Junior,1017.5471698113207,4775.94580078125
2021.06,Lead,3464.641304347826,4775.94580078125
2021.06,Middle,2018.3181818181818,4775.94580078125
2021.06,Senior,2845.88,4775.94580078125
2021.12,Junior,1154.2232142857142,4775.94580078125
2021.12,Lead,3479.1375,4775.94580078125
2021.12,Middle,2392.7004608294933,4775.94580078125
2021.12,Senior,2971.9565217391305,4775.94580078125
2022.06,Junior,1894.0677966101696,4199.6708984375
2022.06,Lead,3916.6666666666665,4199.6708984375
2022.06,Middle,3290.5405405405404,4199.6708984375
2022.06,Senior,3895.0,4199.6708984375
2022.12,Junior,1151.0592592592593,4199.6708984375
2022.12,Lead,3306.5,4199.6708984375
2022.12,Middle,2453.1833333333334,4199.6708984375
2022.12,Senior,3507.82,4199.6708984375
2023.06,Junior,1094.4074074074074,5069.703125
2023.06,Lead,3705.340909090909,5069.703125
2023.06,Middle,2433.947204968944,5069.703125
2023.06,Senior,4112.673076923077,5069.703125
2023.12,Junior,1100.9174311926606,5069.703125
2023.12,Lead,3999.0697674418607,5069.703125
2023.12,Middle,2346.716814159292,5069.703125
2023.12,Senior,3490.903846153846,5069.703125
2024.06,Junior,1223.8125,5711.16
2024.06,Lead,4225.306451612903,5711.16
2024.06,Middle,2377.7196652719667,5711.16
2024.06,Senior,3419.7659574468084,5711.16
2024.12,Junior,1151.6829268292684,5711.16
2024.12,Lead,4457.901960784314,5711.16
2024.12,Middle,2689.0760233918127,5711.16
2024.12,Senior,3425.795918367347,5711.16
